CDTA2020,cdtaname20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),1057,3044,1351,1199,1877,1425,1628,1727,2454,2563,2063,1644,750,1964,1302,89974,1196,482,8707,2690,2657
BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),1385,1081,847,536,557,1216,1844,2236,2602,1450,1594,1462,1838,1153,1170,65710,820,63,7180,1084,436
BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),733,343,569,521,531,321,568,1154,988,1044,1055,1029,1089,945,392,72623,577,306,4371,1460,770
BK04,BK04 Bushwick (CD 4 Equivalent),525,471,264,141,280,250,424,421,658,1696,1327,719,496,526,254,47292,369,259,2140,1022,838
BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),1128,412,380,324,222,32,462,580,559,113,528,1224,1315,498,225,72938,2156,216,4109,427,602
BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),72,339,390,18,216,156,-3,870,851,234,108,312,862,247,69,54677,602,489,7896,371,84
BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),287,280,229,87,119,241,106,-2,103,171,104,410,120,223,114,45939,215,186,1381,354,621
BK08,BK08 Crown Heights (North) (CD 8 Approximation),212,203,221,452,113,428,190,736,746,554,378,335,702,157,1112,49731,458,154,2739,824,679
BK09,BK09 Crown Heights (South) (CD 9 Approximation),174,36,29,213,221,41,56,829,387,332,238,408,682,66,158,40871,1092,465,2022,412,597
BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),33,28,14,39,1,15,48,18,26,14,29,33,16,198,-4,55045,49,16,121,73,260
BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),38,213,106,46,102,36,39,89,50,184,128,61,118,202,33,71001,89,42,796,242,91
BK12,BK12 Borough Park-Kensington (CD 12 Approximation),479,231,215,32,56,46,83,118,139,103,267,506,261,35,62,64309,152,115,708,315,211
BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),170,161,16,97,320,131,46,137,75,102,1251,170,716,244,14,48820,418,42,1437,108,399
BK14,BK14 Flatbush-Midwood (CD 14 Approximation),241,299,206,11,43,126,15,46,643,325,689,377,953,363,152,61732,190,32,1652,396,257
BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),128,101,103,40,75,26,66,7,436,201,109,240,228,25,71,64571,146,100,388,298,119
BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),302,303,280,219,179,105,46,291,561,232,114,340,892,975,149,37069,609,383,1964,199,311
BK17,BK17 East Flatbush (CD 17 Approximation),653,88,32,21,28,40,124,-13,223,449,981,709,747,785,270,62944,1036,252,1974,365,354
BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),3,54,47,66,3,33,5,29,11,40,31,2,30,3,19,72390,314,18,163,53,209
BK55,BK55 Prospect Park (JIA 55 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),792,571,877,476,14,284,319,275,140,940,525,812,1005,937,1272,36640,264,625,2537,551,198
BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),446,158,244,17,109,-1,0,107,78,78,400,529,279,418,45,19655,58,151,958,52,414
BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),352,1357,783,130,388,276,418,658,612,460,872,744,290,542,196,33823,535,133,1488,669,41
BX04,BX04 Highbridge-Concourse (CD 4 Approximation),250,421,32,216,266,283,85,129,509,691,274,250,523,723,1451,54431,883,208,4241,254,398
BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),306,297,200,152,-9,298,189,7,464,360,406,328,148,809,595,46946,974,446,3266,1254,628
BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),588,224,375,145,10,195,411,179,26,952,593,584,349,469,876,32444,832,213,1966,699,427
BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),257,478,57,209,149,136,187,194,235,704,190,491,521,365,232,52826,993,230,2692,632,377
BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),45,27,26,251,70,1,-67,208,126,92,167,49,108,297,83,44945,80,586,715,412,157
BX09,BX09 Soundview-Parkchester (CD 9 Approximation),143,184,60,46,77,30,319,250,140,47,549,325,639,87,73,68000,695,665,990,305,713
BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),64,135,293,25,97,20,255,45,24,53,52,80,60,21,2,55315,427,125,323,44,166
BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),22,69,42,20,35,14,18,-6,199,45,61,44,57,136,55,45628,146,383,618,173,269
BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),139,250,344,176,264,203,265,347,93,204,77,196,388,367,332,59856,426,112,1588,189,308
BX26,BX26 Van Cortlandt Park (JIA 26 Equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
BX27,BX27 Bronx Park (JIA 27 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
BX28,BX28 Pelham Bay Park (JIA 28 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),246,460,1598,503,416,-11,849,1174,559,1166,431,382,840,27,-10,41977,194,581,4233,436,422
MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),327,231,-22,-94,-37,-12,252,467,108,111,280,342,259,188,-7,58418,363,-5,433,172,319
MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),311,592,121,70,184,422,56,290,656,1432,446,315,181,379,454,82589,22,30,3742,324,822
MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),276,1877,1987,298,2496,731,1653,1721,2110,2169,708,287,471,2286,367,82889,2036,223,1820,266,2002
MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),235,528,329,-24,235,282,529,554,602,989,568,272,257,407,555,39593,1874,132,700,1417,1440
MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),-17,103,133,-108,-150,279,156,1251,683,788,699,-12,309,774,78,102101,324,247,1642,343,273
MN07,MN07 Upper West Side (CD 7 Approximation),100,1219,48,358,62,249,303,837,316,245,1304,119,279,130,147,127865,67,30,488,616,-33
MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),338,259,122,-70,-118,-362,135,221,240,5,-11,329,158,56,21,138922,155,-132,1720,-98,21
MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),287,84,97,27,9,165,-20,580,16,2,263,275,103,11,236,44900,832,49,1060,539,176
MN10,MN10 Harlem (CD 10 Equivalent),647,575,628,85,67,335,22,316,111,100,298,712,559,101,258,61629,213,93,1289,138,195
MN11,MN11 East Harlem (CD 11 Equivalent),773,983,609,497,270,622,265,96,512,316,323,787,503,530,236,54738,741,57,2697,857,1002
MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),12,32,131,-37,10,74,76,61,40,123,114,12,19,87,0,74722,461,102,2810,193,479
MN64,MN64 Central Park (JIA 64 Equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
