bctcb2020,cenblock20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
10001001000,360610001001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001001001,360610001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002011000,360610002011000,0,0,0,3,0,0,0,0,0,0,-2,0,0,0,0,344,0,0,-5,0,13
10002011001,360610002011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002012000,360610002012000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0
10002012001,360610002012001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10002012002,360610002012002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002012003,360610002012003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002012004,360610002012004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002021000,360610002021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002021001,360610002021001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0
10002021002,360610002021002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,-2
10002021003,360610002021003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002021004,360610002021004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0
10002022000,360610002022000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0
10002022001,360610002022001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0
10002023000,360610002023000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0
10002023001,360610002023001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0
10002024000,360610002024000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002024001,360610002024001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002024002,360610002024002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10002024003,360610002024003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0
10002025000,360610002025000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002026000,360610002026000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0
10002026001,360610002026001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0
10002026002,360610002026002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
10002026003,360610002026003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0
10002026004,360610002026004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002026005,360610002026005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0
10002026006,360610002026006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002026007,360610002026007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005000001,360610005000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005000003,360610005000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001000,360610005001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001001,360610005001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001002,360610005001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001003,360610005001003,-12,0,0,0,0,0,0,0,0,0,0,-12,-33,0,0,17,0,0,0,0,0
10005001004,360610005001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001005,360610005001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001006,360610005001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001007,360610005001007,-100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0,0,0,0
10005001008,360610005001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001009,360610005001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001010,360610005001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001011,360610005001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001012,360610005001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001013,360610005001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001014,360610005001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001015,360610005001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001016,360610005001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001017,360610005001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
