bct2020,centract2020,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
1000100,36061000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1000201,36061000201,0,0,0,3,0,0,0,0,0,0,-2,0,0,0,0,,0,0,-5,0,13
1000202,36061000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-2
1000500,36061000500,-112,0,0,0,0,0,0,0,0,0,0,-112,-33,4,0,,2,0,2,0,0
1000600,36061000600,2,0,0,23,0,0,0,-9,0,1040,1,-2,-2,0,5,,0,0,2529,19,10
1000700,36061000700,0,4,0,0,0,0,776,71,-67,275,0,0,566,0,0,,10,0,0,0,48
1000800,36061000800,0,28,-4,-2,3,-23,1,1,0,0,3,0,0,0,0,,6,0,82,115,87
1000900,36061000900,0,1,0,0,0,-21,0,-37,0,0,0,0,0,0,0,,1,575,1413,0,2
1001001,36061001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1001002,36061001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1001200,36061001200,0,0,0,0,14,0,0,0,0,0,0,0,-16,144,0,,0,0,0,0,1
1001300,36061001300,56,223,0,0,-4,0,0,186,0,-5,-13,56,299,1,0,,0,1,919,8,-3
1001401,36061001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,64,0,0
1001402,36061001402,263,2,0,0,0,0,-40,12,349,0,44,263,89,117,378,,0,0,233,-6,-13
1001501,36061001501,0,3,898,40,168,5,4,180,0,8,5,130,30,0,0,,0,4,472,2,13
1001502,36061001502,241,0,281,416,14,-16,-11,-122,563,619,-9,241,-1,0,0,,0,0,1283,169,89
1001600,36061001600,0,32,8,2,4,0,0,8,93,8,-22,6,-51,13,1,,2,20,16,21,93
1001800,36061001800,37,60,25,-8,-2,1,4,29,3,245,-17,37,89,13,25,,9,-2,48,5,291
1002000,36061002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1002100,36061002100,47,-10,85,-2,19,0,7,507,26,197,14,45,0,6,0,,8,0,43,40,148
1002201,36061002201,2,303,0,0,2,0,0,78,102,0,0,2,6,0,6,,3,0,12,4,14
1002202,36061002202,7,5,10,-4,0,170,0,0,0,0,0,7,45,55,0,,0,0,74,0,1
1002400,36061002400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1002500,36061002500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1002601,36061002601,0,0,17,14,0,0,3,53,2,-4,-1,0,0,-2,5,,0,0,91,-3,0
1002602,36061002602,0,-2,0,78,0,51,0,30,7,110,8,0,0,5,0,,-3,0,23,5,8
1002700,36061002700,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6
1002800,36061002800,0,38,58,3,0,1,0,40,-12,0,-5,-2,0,2,0,,0,0,247,1,24
1002901,36061002901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1002902,36061002902,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-4,-4,,-2,0,2,62,124
1003001,36061003001,0,0,5,-9,6,5,0,5,4,90,253,0,0,0,0,,0,0,1,81,56
1003002,36061003002,0,0,0,3,0,0,-2,0,1,1,-2,0,0,22,4,,0,0,160,17,7
1003100,36061003100,0,0,0,6,0,33,0,0,0,14,258,0,0,3,0,,97,0,50,6,67
1003200,36061003200,0,2,8,10,87,-3,4,30,0,1,0,0,0,0,0,,4,1,0,0,-2
1003300,36061003300,14,25,22,41,109,-3,21,214,32,3,126,17,-14,9,0,,75,-1,54,156,58
1003400,36061003400,0,11,-2,16,-1,57,-3,11,185,54,113,0,4,-1,0,,0,2,33,0,-4
1003601,36061003601,0,1,4,0,0,0,0,4,22,0,1,0,0,14,0,,0,0,38,-6,3
1003602,36061003602,0,4,-9,0,65,4,16,0,6,3,30,0,0,0,10,,0,0,93,10,91
1003700,36061003700,267,-3,-8,21,-3,-5,-30,137,199,0,166,267,231,62,14,,17,-5,20,79,94
1003800,36061003800,0,16,-2,1,2,-9,40,0,-9,3,2,5,17,1,24,,5,8,2,3,18
1003900,36061003900,0,24,33,2,110,-9,52,175,4,55,50,5,-5,4,-9,,1,2,-3,55,0
1004001,36061004001,0,39,0,-1,0,0,27,3,0,-121,0,0,0,0,0,,-2,0,5,-1,0
1004002,36061004002,0,51,3,-7,2,83,6,-4,-3,1,30,-1,0,0,0,,0,0,-7,-3,-3
1004100,36061004100,0,11,0,12,-5,-2,9,10,28,26,60,0,29,19,0,,37,0,17,50,66
1004200,36061004200,0,1,0,-52,2,85,0,-1,-93,1,10,0,0,0,0,,0,1,1,0,-1
1004300,36061004300,-1,9,-2,1,34,6,4,-6,15,1,5,-1,7,0,-1,,0,0,1,6,12
1004400,36061004400,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,,0,0,3,0,0
1004500,36061004500,1,11,0,0,4,0,0,0,10,0,0,1,0,12,0,,208,0,0,3,3
1004700,36061004700,0,42,5,4,10,0,11,52,7,16,-2,4,29,0,0,,1,-8,4,5,53
1004800,36061004800,-21,1,1,0,-4,0,0,6,-3,-24,-1,-21,0,0,5,,0,66,2,0,50
1004900,36061004900,1,2,14,-3,-7,0,-6,33,-6,16,1,2,-1,-13,0,,-3,0,46,1,7
1005000,36061005000,-1,-5,0,1,14,0,0,-8,1,0,1,-1,-4,0,0,,111,0,0,-7,3
1005200,36061005200,0,2,-24,2,0,4,6,-1,0,2,0,0,1,3,0,,2,0,0,-5,-3
1005400,36061005400,0,15,2,5,1,5,55,14,58,0,-6,0,-2,56,6,,-1,0,42,24,81
1005501,36061005501,0,0,0,0,-7,0,0,0,-3,0,0,0,0,160,0,,-1,0,0,0,2
1005502,36061005502,61,-2,7,2,2,3,35,8,-86,16,-3,61,0,0,0,,0,0,-1,23,75
1005600,36061005600,0,0,0,0,50,325,0,0,83,0,0,0,0,0,0,,37,0,0,346,-2
1005700,36061005700,0,140,0,0,-1,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,33
1005800,36061005800,0,7,7,0,0,0,127,289,53,0,0,0,0,45,0,,0,1,4,27,61
1005900,36061005900,0,0,-14,-12,0,0,0,0,1,-5,-2,0,-39,0,0,,0,0,-10,0,2
1006000,36061006000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0
1006100,36061006100,0,7,8,-5,0,10,5,251,0,5,52,0,0,0,0,,9,36,39,17,-20
1006200,36061006200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
1006300,36061006300,0,29,-13,18,-32,-1,1,8,-2,-4,0,2,-9,-20,-2,,-5,-4,39,-8,-12
1006400,36061006400,0,6,98,0,-13,0,-11,45,-4,199,66,0,0,61,119,,0,0,52,59,-1
1006500,36061006500,0,-1,0,1,-9,-4,-44,4,8,-2,1,-1,0,-19,-2,,0,1,-3,11,-23
1006600,36061006600,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,,2,0,63,0,1
1006700,36061006700,-1,0,-1,-3,-6,0,-3,-1,-3,1,0,-1,-2,0,0,,39,-5,-19,-11,13
1006800,36061006800,14,1,62,0,36,82,-12,-10,8,82,0,14,150,11,3,,0,0,-77,47,11
1006900,36061006900,0,1,0,0,1,0,0,0,28,54,35,0,22,5,1,,0,0,326,29,0
