NTA2020,ntaname20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
BK0101,Greenpoint,240,314,78,111,143,328,53,349,460,1310,130,695,327,1439,652,20381,84,162,4061,1091,428
BK0102,Williamsburg,444,2211,845,810,1337,844,1235,903,1480,798,1511,497,277,171,382,32444,441,115,2359,1044,1215
BK0103,South Williamsburg,89,161,101,30,127,25,15,284,13,249,94,104,-10,181,74,12251,123,14,727,149,288
BK0104,East Williamsburg,284,358,327,248,270,228,325,191,501,206,328,348,156,173,194,24898,548,191,1560,406,726
BK0201,Brooklyn Heights,166,-4,99,18,25,-30,53,178,62,-125,526,152,-17,104,8,13810,297,57,57,321,171
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,1204,847,452,96,99,1148,1330,651,1721,1145,222,1209,1296,553,976,21352,384,-23,2936,440,134
BK0203,Fort Greene,-5,125,181,209,353,-11,241,1308,480,312,167,4,465,9,-2,16146,22,5,3996,46,28
BK0204,Clinton Hill,20,113,115,213,80,109,220,105,340,118,679,97,95,487,188,14400,117,24,191,280,105
BK0261,Brooklyn Navy Yard,0,0,0,0,0,0,0,-6,-1,0,0,0,-1,0,0,2,0,0,0,-3,-2
BK0301,Bedford-Stuyvesant (West),516,281,404,246,412,225,356,656,495,491,686,710,561,428,323,35840,333,192,2289,728,410
BK0302,Bedford-Stuyvesant (East),217,62,165,275,119,96,212,498,493,553,369,319,528,517,69,36783,244,114,2082,732,360
BK0401,Bushwick (West),240,292,272,84,208,172,201,263,397,1322,872,400,241,240,67,23507,197,93,1021,656,335
BK0402,Bushwick (East),285,179,-8,57,72,78,223,158,261,374,455,319,255,286,187,23784,172,166,1119,366,503
BK0471,The Evergreens Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BK0501,Cypress Hills,115,10,2,4,24,7,2,5,72,19,4,113,29,269,20,13936,383,80,1178,92,94
BK0502,East New York (North),111,80,103,12,8,25,15,8,33,48,13,130,302,121,15,14766,626,93,1689,55,223
BK0503,East New York-New Lots,182,96,46,95,1,6,257,196,258,5,263,195,77,94,21,20387,101,25,106,226,169
BK0504,Spring Creek-Starrett City,676,159,18,197,66,0,175,345,197,25,245,741,662,0,0,8251,1035,0,800,8,0
BK0505,East New York-City Line,44,67,211,16,123,-6,13,26,-1,16,3,45,245,14,169,15597,11,18,336,46,116
BK0571,Highland Park-Cypress Hills Cemeteries (South),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,58,354,344,21,97,92,24,525,461,65,110,166,10,185,67,27657,514,279,7277,432,196
BK0602,Park Slope,14,-15,46,-3,119,64,-27,345,390,169,-2,146,852,62,2,27020,88,210,619,-61,-112
BK0701,Windsor Terrace-South Slope,237,116,50,31,-2,186,79,-38,3,-2,6,239,18,15,-3,10752,25,14,687,63,20
BK0702,Sunset Park (West),23,63,57,23,86,38,8,21,81,132,21,129,77,110,85,18619,29,65,592,192,524
BK0703,Sunset Park (Central),27,101,122,33,35,17,19,15,19,41,77,42,25,98,32,16563,161,107,102,99,77
BK0771,Green-Wood Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
BK0801,Prospect Heights,5,13,41,-2,48,112,28,465,426,16,87,58,451,5,802,11454,63,50,1290,368,84
BK0802,Crown Heights (North),207,190,180,454,65,316,162,271,320,538,291,277,251,152,310,38277,395,104,1449,456,595
BK0891,Lincoln Terrace Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK0901,Crown Heights (South),50,0,-1,104,10,-4,-10,-3,274,32,55,219,552,8,69,19762,380,81,1511,161,353
BK0902,Prospect Lefferts Gardens-Wingate,124,36,30,109,211,45,66,832,113,300,183,189,130,58,89,21109,712,384,511,251,244
BK1001,Bay Ridge,27,17,5,40,3,7,36,-1,23,5,28,28,3,45,-1,38534,27,9,73,69,115
BK1002,Dyker Heights,6,11,9,-1,-2,8,12,19,3,9,1,5,13,153,-3,16230,22,7,48,4,145
BK1061,Fort Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0
BK1091,Dyker Beach Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BK1101,Bensonhurst,12,108,27,34,56,5,19,41,44,153,76,13,42,67,27,36889,20,17,136,126,65
BK1102,Bath Beach,13,14,16,3,9,24,8,3,-4,7,10,33,46,11,6,12358,29,8,111,14,5
BK1103,Gravesend (West),13,91,63,9,37,7,12,45,10,24,42,15,30,124,0,21754,40,17,549,102,21
BK1201,Sunset Park (East)-Borough Park (West),107,72,78,26,33,23,9,41,37,42,98,128,47,19,31,11106,65,92,252,177,114
BK1202,Borough Park,144,113,127,1,4,26,31,61,53,57,163,148,120,24,8,25521,68,15,228,81,58
BK1203,Kensington,9,4,7,7,2,2,34,16,53,-2,16,11,45,11,31,14804,18,4,123,47,34
BK1204,Mapleton-Midwood (West),219,42,3,-2,17,-5,9,0,-4,6,-10,219,49,-19,-8,12878,1,4,105,10,5
BK1301,Gravesend (South),12,55,10,-6,58,64,24,12,4,-3,18,12,16,18,9,12099,35,7,10,26,60
BK1302,Coney Island-Sea Gate,139,68,-6,25,188,-2,19,9,13,57,1164,139,656,202,7,21867,333,27,1333,12,260
BK1303,Brighton Beach,19,38,12,78,74,69,3,116,58,48,69,19,44,24,-2,14854,50,8,94,70,79
BK1391,Calvert Vaux Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK1401,Flatbush,141,232,131,12,4,120,-2,-2,240,181,126,286,744,179,135,26383,139,30,1172,164,188
BK1402,Flatbush (West)-Ditmas Park-Parkville,47,25,58,1,16,10,2,52,127,139,104,47,38,92,0,15952,48,-8,267,57,28
BK1403,Midwood,53,42,17,-2,23,-4,15,-4,276,5,459,44,171,92,17,19397,3,10,213,175,41
BK1501,Gravesend (East)-Homecrest,11,3,35,-7,5,7,-15,1,18,6,24,8,39,-96,-6,19681,16,9,122,-1,-3
BK1502,Madison,86,72,21,25,43,5,-3,18,109,142,55,203,59,82,15,16183,28,50,106,54,8
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,31,26,47,22,27,14,84,-12,309,53,30,29,130,39,62,28707,102,41,160,245,114
BK1601,Ocean Hill,102,142,264,45,73,53,44,283,299,227,98,144,356,412,36,15304,43,271,474,123,188
BK1602,Brownsville,200,161,16,174,106,52,2,8,262,5,16,196,536,563,113,21765,566,112,1490,76,123
BK1701,East Flatbush-Erasmus,509,35,5,5,12,37,126,-13,189,424,828,551,480,531,169,19105,300,90,1312,226,240
BK1702,East Flatbush-Farragut,124,2,10,1,1,-1,-5,-4,-18,23,151,133,253,230,99,12609,50,116,421,112,52
BK1703,East Flatbush-Rugby,14,42,9,12,14,3,4,4,51,0,1,19,4,12,1,15791,671,29,187,12,40
