councildst,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
1,649,659,1646,554,463,-28,802,1347,1313,2609,807,792,1028,198,408,97415,469,586,7340,888,1328
2,223,624,207,65,169,829,75,645,152,295,537,226,397,546,172,97519,179,101,834,622,292
3,439,2183,2353,164,2516,713,2101,1763,2146,1766,757,496,636,2602,837,131069,2134,199,2282,746,2370
4,-7,439,-96,-160,-74,237,498,976,785,805,876,-10,165,760,18,119129,279,281,2175,566,851
5,340,144,162,-47,-54,-262,155,238,309,40,-57,339,173,3,23,107138,150,-91,1652,-73,-185
6,20,996,34,409,66,75,281,1575,486,1395,1426,1,158,71,0,106403,1736,119,281,495,180
7,422,292,122,-26,4,33,35,589,81,-1,268,449,200,89,383,70758,921,58,1344,677,310
8,1390,1012,863,490,107,752,599,138,712,1251,703,1416,979,1376,1819,69452,878,195,6025,514,1081
9,675,853,634,169,245,633,-24,373,225,108,352,739,658,101,274,83100,673,82,2412,1081,495
10,12,32,131,-37,11,74,68,0,40,119,112,12,21,74,0,65640,458,166,2719,192,524
11,329,188,68,315,210,159,285,404,204,408,226,386,401,633,68,68203,381,477,2189,709,351
12,100,203,372,109,227,121,220,264,104,89,65,168,105,257,341,68441,466,119,1037,229,201
13,15,91,153,34,66,37,87,25,214,77,88,37,93,52,39,64865,498,401,369,149,375
14,122,393,23,355,49,347,159,64,287,393,306,334,448,460,518,58609,946,475,4047,993,617
15,800,491,792,226,131,191,506,265,405,1434,881,792,603,1095,1230,62963,1077,482,3472,1356,823
16,438,546,255,212,85,443,214,271,307,673,352,438,683,777,929,60702,1180,194,2215,402,311
17,775,1665,1248,496,557,117,304,829,697,557,1336,1331,927,1019,483,63937,480,739,2448,574,556
18,197,303,147,40,136,42,310,195,132,54,554,306,630,34,5,65612,690,701,1175,317,734
19,40,180,224,139,70,95,63,38,53,98,298,84,40,93,22,65119,103,88,579,184,311
20,253,393,299,220,387,383,107,351,202,228,985,272,353,400,339,64563,838,281,2701,1221,1606
21,67,357,265,239,159,117,61,129,77,209,108,104,226,219,206,49846,946,115,731,212,634
22,100,917,380,334,330,380,192,460,383,643,637,243,529,1125,296,71481,2824,249,3401,1300,1203
23,23,47,67,31,44,46,51,30,19,24,169,53,34,26,41,59155,71,25,325,122,301
24,136,275,324,144,101,24,337,81,83,271,175,141,464,636,6,59585,1029,53,1494,490,305
25,170,154,122,170,78,76,41,25,114,71,385,195,227,97,69,61118,425,36,384,208,301
26,235,282,406,786,2366,1196,1381,1647,3492,3470,1431,360,5013,1946,544,82693,1500,503,9803,3518,2659
27,684,518,153,119,70,300,82,119,50,713,673,700,862,1136,350,55249,580,237,3810,528,536
28,229,157,115,80,80,57,100,41,65,111,79,238,72,85,42,58080,985,61,304,119,275
29,54,48,169,114,242,59,125,217,16,90,52,63,144,40,262,74190,100,189,1109,316,326
30,14,257,122,88,88,46,272,82,103,84,185,16,73,133,6,63922,152,61,582,274,674
31,53,189,191,159,199,142,153,77,165,439,280,97,374,1337,398,58232,957,604,1048,374,678
32,103,121,66,34,33,28,123,76,146,87,87,91,41,95,20,60548,400,144,380,171,347
33,1894,3145,1464,748,1305,1644,2582,2323,3612,2775,2314,2465,1791,2485,1849,91849,1255,247,10177,2716,1955
34,908,1060,823,671,966,741,798,808,1202,2320,1615,1154,640,504,631,72381,970,312,2914,1484,1513
35,187,221,503,875,630,697,607,2536,2011,950,1178,540,2500,617,1358,81221,797,115,8006,1228,800
36,694,379,435,485,346,335,482,733,672,759,838,886,969,752,367,73338,272,333,3538,1319,800
37,559,428,233,91,165,234,150,172,583,478,420,689,848,823,345,56779,1145,584,4255,622,1044
38,337,326,240,79,125,85,42,36,221,183,194,687,239,224,126,59060,443,174,1171,393,749
39,127,435,385,43,261,195,35,511,432,146,58,151,-58,290,55,72706,359,493,7919,317,221
40,680,113,122,36,232,351,261,789,568,923,1064,766,1331,683,239,62693,984,483,3205,610,564
41,279,288,117,255,172,112,63,457,783,543,378,294,485,858,67,64340,1561,247,2337,426,426
42,1037,300,380,466,193,49,462,584,500,103,532,1123,1330,316,198,64322,1275,164,1946,282,390
43,74,190,209,58,69,45,60,101,87,155,215,105,117,280,61,73609,175,134,359,347,167
44,402,188,111,-8,39,35,36,41,179,116,591,401,197,90,-8,54213,81,46,429,204,13
45,250,291,138,47,9,-18,-17,45,146,82,242,432,436,409,292,57715,267,131,978,204,235
46,10,27,51,25,51,8,8,16,-14,76,53,9,15,13,8,64738,323,21,109,83,205
47,65,169,28,55,254,75,78,27,45,70,722,67,677,268,17,66477,409,51,1985,106,429
48,263,173,91,130,118,83,96,147,651,248,626,373,371,93,92,74766,167,90,483,416,175
49,37,355,216,157,178,73,-174,756,189,49,173,71,113,89,23,61815,1100,771,982,362,1057
50,101,128,105,99,15,12,102,124,78,379,179,145,136,87,50,60628,203,88,300,43,552
51,135,261,244,230,292,280,183,199,214,254,204,193,208,184,139,61249,161,87,469,74,653
