commntydst,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
101,246,460,1598,503,416,-11,849,1174,559,1166,431,382,840,27,-10,41977,194,581,4233,436,422
102,327,231,-22,-94,-37,-12,252,467,108,111,280,342,259,188,-7,58418,363,-5,433,172,319
103,311,592,121,70,184,422,56,290,656,1432,446,315,181,379,454,82589,22,30,3742,324,822
104,276,1877,1987,298,2496,731,1653,1721,2110,2169,708,287,471,2286,367,84357,2036,223,1820,266,2000
105,235,527,320,-13,149,277,523,543,731,1073,567,272,222,472,555,42323,1993,146,1018,1512,1297
106,-17,104,142,-119,-64,284,162,1262,554,704,700,-12,344,709,78,99371,205,233,1324,248,416
107,100,1219,48,358,62,249,303,837,316,245,1304,119,279,130,147,126397,67,30,488,616,-31
108,338,259,122,-70,-118,-362,135,221,240,5,-11,329,158,56,21,138922,155,-132,1720,-98,21
109,287,84,97,27,9,165,-20,580,16,2,263,275,103,11,236,44900,832,49,1060,539,176
110,647,575,628,85,67,335,22,316,111,100,298,712,559,101,258,61629,213,93,1289,138,195
111,773,983,609,497,270,622,265,96,512,316,323,787,503,530,236,54738,741,57,2697,857,1002
112,12,32,131,-37,10,74,76,61,40,123,114,12,19,87,0,74722,461,102,2810,193,479
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
201,792,571,877,476,14,284,319,275,298,1093,525,812,1005,1214,1816,36896,623,625,4066,551,196
202,446,220,305,17,115,-1,0,107,78,78,400,529,280,422,39,19240,145,151,958,53,414
203,352,1294,715,207,599,276,418,658,612,460,863,744,289,538,373,34360,448,133,1488,668,35
204,250,422,39,139,49,283,85,129,351,538,283,250,523,446,736,54022,524,208,2712,254,406
205,306,297,200,152,-9,298,203,7,216,189,171,328,148,809,595,45814,974,446,3266,1254,628
206,588,224,375,145,10,195,397,179,274,1125,818,584,349,469,688,32821,553,213,1942,688,427
207,257,478,57,209,149,136,187,194,235,702,200,491,521,365,420,53180,1272,230,2716,643,377
208,45,27,26,251,70,1,-67,208,126,92,167,49,108,297,83,45144,80,586,715,412,157
209,199,199,133,48,78,30,319,250,137,47,549,381,636,87,74,68576,695,664,990,305,717
210,8,120,220,23,96,20,255,45,27,53,52,24,63,21,1,54738,427,126,323,44,162
211,21,69,42,22,35,14,18,-6,198,31,62,43,57,139,55,44864,131,383,567,119,261
212,140,250,344,174,264,203,265,347,94,218,76,197,388,364,332,60856,441,112,1639,243,316
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
301,1057,3044,1351,1199,1877,1425,1628,1727,2454,2563,2063,1644,750,1964,1302,89974,1196,482,8707,2690,2657
302,1427,1080,846,526,640,1288,1802,2314,2668,1442,1606,1543,2689,1293,1306,66998,814,62,8053,1260,450
303,729,344,569,521,445,331,608,1069,923,1045,1038,988,1108,1195,285,72904,582,309,4203,1334,776
304,525,471,264,141,280,250,424,421,658,1696,1327,719,496,526,254,47292,369,259,2140,1022,838
305,1128,412,380,324,222,32,462,406,559,113,528,1224,1315,498,225,72381,2294,216,4109,427,601
306,8,340,314,24,219,77,1,880,856,240,110,198,9,142,39,53365,601,489,7845,335,66
307,313,280,310,87,119,241,107,2,103,166,104,485,123,227,116,45683,217,177,1452,356,621
308,212,203,217,454,113,429,188,736,747,553,378,334,702,157,1113,49525,458,154,2034,824,679
309,174,36,29,213,221,37,54,837,423,382,267,408,682,66,167,41694,1719,499,2042,421,597
310,37,28,14,39,1,15,49,17,24,16,31,40,16,196,-4,55768,49,16,127,76,260
311,25,213,84,46,101,36,38,89,44,182,128,48,118,202,33,71074,89,42,789,231,81
312,476,229,207,33,56,54,80,98,136,102,265,500,264,27,59,62782,152,125,670,300,207
313,182,163,46,96,318,134,39,87,71,101,1250,182,716,243,14,46672,410,44,1450,122,397
