Project ID,Project Name,Program Group,Project Start Date,Project Completion Date,Extended Affordability Only,Prevailing Wage Status,Planned Tax Benefit,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Senior Units
44218,MEC E. 125TH ST. PARCEL B WEST,Multifamily Finance Program,12/31/2018,02/16/2022,No,Non Prevailing Wage,Article XI,0,101,101,0,93,2,297,0,297,404,0
44223,ROCHESTER SUYDAM PHASE 1,Multifamily Finance Program,06/30/2021,,No,Non Prevailing Wage,Article XI,0,0,0,39,7,0,0,46,46,46,0
44225,Brook Avenue Apartments,Multifamily Finance Program,06/27/2014,12/28/2016,No,Non Prevailing Wage,421a,0,14,51,0,0,1,66,0,66,66,0
44230,Mermaid  / West. 16th Street,Small Homes Program,06/30/2015,07/21/2017,No,Non Prevailing Wage,UDAAP,0,0,0,16,5,0,14,7,21,21,0
44239,Home for Harlem Dowling,Multifamily Finance Program,06/30/2014,12/29/2016,No,Non Prevailing Wage,420c,12,0,47,0,0,1,60,0,60,60,0
44256,WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,Multifamily Finance Program,12/31/2018,09/29/2021,No,Non Prevailing Wage,,129,0,69,0,0,1,199,0,199,199,0
44265,CULVER EL PHASE I,Small Homes Program,11/25/2014,05/06/2019,No,Non Prevailing Wage,UDAAP,0,0,0,36,0,0,0,36,36,36,0
44280,ELTON CROSSING (AKA MELROSE COMMONS NORTH SITE C),Multifamily Finance Program,06/30/2015,02/27/2019,No,Non Prevailing Wage,420c,15,46,137,0,0,1,199,0,199,199,0
44281,STANLEY COMMONS,Multifamily Finance Program,12/31/2014,01/23/2018,No,Non Prevailing Wage,420c,0,3,236,0,0,1,240,0,240,240,0
44282,NYCHA FULTON HOUSES,Multifamily Finance Program,12/28/2016,11/20/2018,No,Non Prevailing Wage,Article XI,0,32,48,0,79,1,160,0,160,160,0
44285,VAN BUREN/GREENE,Small Homes Program,06/30/2016,02/05/2020,No,Non Prevailing Wage,UDAAP,0,0,0,6,14,0,10,10,20,20,0
44288,DEAN STREET RESIDENCES CONDOMINIUM,Small Homes Program,06/26/2014,06/18/2018,No,Non Prevailing Wage,UDAAP,0,0,15,0,0,0,0,15,15,15,0
44295,Van Sinderen Plaza,Multifamily Finance Program,06/29/2016,09/17/2021,No,Non Prevailing Wage,420c,18,33,78,0,0,1,130,0,130,130,0
44319,Williamsburg Apartments,Multifamily Finance Program,06/30/2014,12/29/2017,No,Non Prevailing Wage,420c,8,3,41,0,0,1,53,0,53,53,0
44324,Clinton URA Site 7/CHDC,Multifamily Finance Program,05/04/2015,10/03/2019,No,Non Prevailing Wage,Article XI,0,0,24,26,52,1,103,0,103,103,0
44332,HOPKINSON/PARK PLACE,Small Homes Program,02/10/2017,07/14/2021,No,Non Prevailing Wage,Article XI,0,0,25,0,0,0,0,25,25,25,0
44333,HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,Multifamily Finance Program,08/21/2014,10/27/2017,No,Prevailing Wage,Article XI,61,0,0,0,0,1,62,0,62,62,61
44339,BRONX COMMONS,Multifamily Finance Program,12/28/2016,12/30/2019,No,Non Prevailing Wage,Article XI,46,60,182,16,0,1,305,0,305,305,0
