ProjectID,BuildingID,AffordabilityBand,TotalUnits
44218,987329,Low Income,101
44218,987329,Middle Income,200
44218,987329,Other,2
44218,987329,Very Low Income,101
44223,969695,Middle Income,6
44223,969695,Moderate Income,2
44223,975702,Middle Income,1
44223,975702,Moderate Income,14
44223,977564,Moderate Income,10
44223,927737,Moderate Income,13
44230,394346,Middle Income,3
44230,967127,Moderate Income,3
44230,927137,Moderate Income,3
44230,336151,Moderate Income,3
44230,336111,Moderate Income,3
44230,967108,Moderate Income,3
44230,967109,Middle Income,2
44230,967109,Moderate Income,1
44239,927150,Extremely Low Income,12
44239,927150,Low Income,47
44239,927150,Other,1
44249,927160,Low Income,16
44249,927160,Very Low Income,4
44250,927161,Extremely Low Income,8
44256,988143,Extremely Low Income,129
44256,988143,Low Income,69
44256,988143,Other,1
44258,928028,Low Income,3
44258,928028,Very Low Income,2
44258,969720,Low Income,6
44258,969720,Very Low Income,4
44258,927117,Low Income,4
44258,927117,Very Low Income,4
44258,928029,Low Income,5
44258,928029,Very Low Income,3
44265,957390,Moderate Income,4
44265,957420,Moderate Income,4
44265,957389,Moderate Income,4
44265,957384,Moderate Income,4
44265,957388,Moderate Income,4
44265,957383,Moderate Income,4
44265,957382,Moderate Income,4
44265,957381,Moderate Income,4
44265,957387,Moderate Income,4
44280,928040,Extremely Low Income,15
44280,928040,Low Income,137
44280,928040,Other,1
44280,928040,Very Low Income,46
44281,981460,Low Income,89
44281,981459,Low Income,31
44281,981458,Low Income,30
44281,981458,Very Low Income,1
44281,981457,Low Income,25
44281,981457,Other,1
44281,981457,Very Low Income,1
44281,980874,Low Income,30
44281,980874,Very Low Income,1
44281,981192,Low Income,31
44282,973906,Low Income,48
44282,973906,Middle Income,79
44282,973906,Other,1
44282,973906,Very Low Income,32
44285,972362,Middle Income,2
44285,927626,Middle Income,2
44285,331134,Middle Income,2
44285,927624,Middle Income,2
44285,927618,Moderate Income,2
44285,927981,Moderate Income,2
44285,927191,Middle Income,2
44285,972363,Middle Income,2
44285,927625,Middle Income,2
44285,927982,Moderate Income,2
44288,947359,Low Income,3
44288,946784,Low Income,4
44288,947360,Low Income,4
44288,947361,Low Income,4
44295,965149,Extremely Low Income,11
44295,965149,Low Income,68
44295,965149,Other,1
44295,965149,Very Low Income,22
44295,965150,Extremely Low Income,7
44295,965150,Low Income,10
44295,965150,Very Low Income,11
44303,927939,Other,1
44303,927939,Very Low Income,50
44306,926973,Low Income,5
44306,926973,Very Low Income,2
44319,955283,Extremely Low Income,5
44319,955283,Low Income,13
44319,955283,Very Low Income,1
44319,927209,Low Income,9
44319,927209,Very Low Income,1
44319,955280,Extremely Low Income,3
44319,955280,Low Income,13
44319,955280,Other,1
44319,955280,Very Low Income,1
44319,955279,Low Income,6
44324,927213,Low Income,24
44324,927213,Middle Income,52
44324,927213,Moderate Income,26
44324,927213,Other,1
44332,1005272,Low Income,10
44332,1005272,Low Income,7
44332,975662,Low Income,8
44333,955937,Extremely Low Income,61
44333,955937,Other,1
44339,974382,Extremely Low Income,46
44339,974382,Low Income,182
44339,974382,Moderate Income,16
44339,974382,Other,1
44339,974382,Very Low Income,60
44340,969943,Moderate Income,2
44340,969942,Moderate Income,2
44340,969961,Moderate Income,2
44340,969937,Moderate Income,2
44340,969940,Moderate Income,2
44340,965968,Moderate Income,3
44340,969960,Moderate Income,2
44340,969939,Moderate Income,2
44340,927678,Moderate Income,3
44340,927586,Moderate Income,2
44340,969941,Moderate Income,3
44340,965970,Moderate Income,3
44340,969938,Moderate Income,2
44348,950310,Low Income,107
44348,950310,Other,1
44348,950310,Very Low Income,28
44350,928130,Extremely Low Income,12
44350,928130,Low Income,18
44350,928130,Other,1
44350,928130,Very Low Income,30
44353,939117,Extremely Low Income,33
44353,939117,Low Income,16
44353,939117,Other,1
44353,926997,Extremely Low Income,12
44353,926997,Low Income,27
44353,926997,Other,1
44357,958188,Extremely Low Income,54
44357,958188,Low Income,106
44357,958188,Moderate Income,18
44357,958188,Other,1
44362,947316,Low Income,133
44362,947316,Other,1
44369,927815,Low Income,9
44369,927815,Very Low Income,5
44369,976936,Low Income,10
44369,976936,Very Low Income,6
44369,927816,Low Income,3
44369,927816,Other,1
44369,927816,Very Low Income,3
44369,943963,Low Income,4
44369,943963,Very Low Income,3
44388,958153,Extremely Low Income,31
44388,958153,Low Income,62
44388,958153,Other,1
44405,973259,Low Income,118
44405,973259,Middle Income,164
44405,973259,Not Applicable,304
44409,927022,Extremely Low Income,11
44409,927022,Low Income,64
44409,927022,Other,1
44409,927022,Very Low Income,32
44431,965100,Extremely Low Income,12
44431,965100,Low Income,62
44431,965100,Very Low Income,8
44431,974694,Extremely Low Income,19
44431,974694,Low Income,91
44431,974694,Other,1
44431,974694,Very Low Income,13
44602,927742,Extremely Low Income,53
44602,927742,Other,1
44865,969852,Low Income,29
44865,969852,Very Low Income,36
44888,949804,Low Income,114
44888,949804,Other,1
45223,,Low Income,68
45223,,Very Low Income,2
45223,,Low Income,43
45223,,Other,1
45223,,Very Low Income,7
45265,38135,Low Income,28
45265,38135,Other,1
45265,38135,Very Low Income,69
45265,38122,Very Low Income,70
45280,935092,Low Income,111
45280,935092,Other,1
45280,935092,Very Low Income,29
45301,941593,Low Income,70
45301,941593,Other,1
45301,941593,Very Low Income,18
45303,949086,Low Income,44
45303,949086,Other,1
45303,949086,Very Low Income,33
45303,972798,Low Income,19
45303,972798,Very Low Income,13
45326,934081,Low Income,18
45326,934081,Moderate Income,54
45326,934081,Other,1
45578,25214,Middle Income,47
45578,25214,Other,1
45578,25214,Very Low Income,9
45675,934659,Low Income,7
45675,934659,Other,1
45675,934659,Very Low Income,49
45677,935209,Low Income,60
45677,935209,Other,1
45677,935209,Very Low Income,11
46076,934663,Low Income,134
46076,934663,Other,1
46143,976480,Extremely Low Income,6
46143,976480,Low Income,14
46143,976480,Very Low Income,8
46143,958172,Extremely Low Income,10
46143,958172,Low Income,76
46143,958172,Moderate Income,26
46143,958172,Other,1
46143,958172,Very Low Income,40
46299,957262,Low Income,68
46299,957262,Other,1
46299,957262,Very Low Income,18
47767,49424,Low Income,15
47767,49429,Low Income,18
47767,49429,Other,1
47767,70671,Low Income,6
47767,70285,Low Income,6
47767,70285,Other,1
47767,70287,Low Income,7
47772,9980,Extremely Low Income,7
47772,9980,Very Low Income,32
47805,806404,Low Income,24
47805,806404,Other,1
47805,806404,Very Low Income,2
47805,59205,Low Income,35
47805,59205,Very Low Income,2
47805,59179,Extremely Low Income,1
47805,59179,Low Income,26
47805,59179,Very Low Income,1
47805,59207,Low Income,25
47805,59207,Other,1
