TaxIncentiveDWID,ProjectID,TaxIncentiveName,Year1Amount
5953,44218,Article XI,1076666
7464,44223,Article XI,70563
4157,44230,UDAAP,61256
4164,44258,UDAAP,73574
4166,44265,UDAAP,1000
4872,44282,Article XI,682833
4171,44285,UDAAP,42298
4172,44288,UDAAP,150
4176,44303,UDAAP,36717
4177,44306,Article XI,21541
4182,44324,Article XI,476031
5498,44332,Article XI,36781
4183,44333,Article XI,45146
4875,44339,Article XI,791268
5760,44340,UDAAP,8371
5132,44431,Article XI,557565
4340,47805,Article XI,272484
4352,47850,Article XI,57398
4359,47868,Article XI,19194
4361,47878,Article XI,18488
4366,47888,Article XI,30984
4372,47948,Article XI,34680
4373,47960,Article XI,213650
4374,47962,Article XI,74988
4375,48002,Article XI,91152
4377,48011,Article XI,120000
4379,48013,Article XI,111113
6177,48038,Article XI,60837
4389,48132,Article XI,136412
6829,48143,Article XI,148491
4391,48254,Article XI,40435
4419,48607,Article XI,280162
5280,48608,Article XI,247905
4420,48621,Article XI,116423
4422,48625,Article XI,152212
4423,48626,Article XI,55884
4434,48657,Article XI,482488
4435,48660,Article XI,244467
4445,48688,Article XI,98141
4450,48726,Article XI,3371889
4451,48729,Article XI,236364
4452,48731,Article XI,913049
4453,48732,Article XI,80340
4454,48735,Article XI,148505
4463,48763,Article XI,175642
4472,48788,Article XI,16679
4473,48794,Article XI,206873
4477,48870,Article XI,456480
4479,48877,UDAAP,1000
4485,48891,Article XI,287460
4493,48908,UDAAP,291470
4495,48937,Article XI,45343
4497,48973,Article XI,126082
7002,48996,Article XI,94879
4498,49010,UDAAP,3398
4505,49103,Article XI,205185
4506,49143,Article XI,1560014
5979,49147,Article XI,38279
4507,49171,Article XI,2829540
4513,49270,Article XI,81122
4517,49276,Article XI,46541
4518,49281,Article XI,60086
4522,49358,Article XI,120000
4524,49445,Article XI,238749
4525,49455,Article XI,55373
4527,49501,Article XI,25216
4532,49570,UDAAP,3700
4539,49635,UDAAP,45699
4545,49716,Article XI,174590
4550,49938,Article XI,277206
4555,50059,Article XI,81037
4556,50088,Article XI,435673
4558,50131,Article XI,192578
4559,50132,Article XI,83129
4560,50156,Article XI,1688302
4567,50196,Article XI,156355
4569,50201,Article XI,55053
4570,50205,Article XI,682186
4573,50223,Article XI,229480
4583,50329,Article XI,53879
4597,50390,Article XI,662443
4611,50424,UDAAP,31155.58
4647,51378,Article XI,22579
6919,51582,Article XI,1068116
4653,51751,Article XI,55657
5824,51867,Article XI,357007
5133,51868,Article XI,1358384
5456,51950,UDAAP,79501
4661,52056,Article XI,1028890
4683,52396,Article XI,745850
4700,52661,Article XI,203342
4707,52721,Article XI,553896
4712,52733,Article XI,866339
4722,52774,Article XI,5666931
4723,52775,Article XI,480700
4725,52783,Article XI,224311
5855,52986,Article XI,234884
4741,53010,Article XI,74116
4742,53011,Article XI,8775078
4743,53017,UDAAP,203975
4747,53180,Article XI,371979
4750,53245,Article XI,214865
4757,53437,Article XI,469042
4759,53461,Article XI,278700
4760,53473,Article XI,306083
5146,53655,Article XI,567717
4777,54407,Article XI,88232
4778,54709,Article XI,411284
4779,54727,Article XI,165000
5473,54838,UDAAP,49826
4788,55026,Article XI,53933
4792,55238,Article XI,124245
5448,58302,Article XI,14198
7363,58479,Article XI,5814
4808,58480,Article XI,743102
4809,58589,Article XI,187968
5486,58621,Article XI,516104
5289,58623,Article XI,399695
4884,58625,Article XI,736550
4812,58631,Article XI,97409
4813,58638,Article XI,392090
4821,58863,Article XI,671085
4935,58876,Article XI,350734
4823,58908,Article XI,128129
4824,58954,Article XI,1577789
4857,58955,Article XI,712799
5315,58972,Article XI,1214600
4825,58992,Article XI,24778
4827,59117,Article XI,783462
5144,59474,Article XI,371651
4830,59637,Article XI,92621
4833,59946,Article XI,1271240
5100,60027,Article XI,166447
4978,60034,Article XI,286875
4836,60041,Article XI,122026
7024,60102,Article XI,356088
4879,60249,Article XI,525862
4880,60319,Article XI,178653
4842,60361,Article XI,46967
4936,60427,Article XI,723586
4843,60431,Article XI,1183361
4844,60434,Article XI,1479325
6259,60784,Article XI,66227
5374,61357,Article XI,544876
6329,61587,Article XI,154303
4984,61593,Article XI,147104
5050,61610,Article XI,184526.4
5135,61611,Article XI,44696
5716,61837,Article XI,109671
6617,61840,Article XI,127394
6185,61877,Article XI,27909
6160,61931,Article XI,5398629
7001,62057,Article XI,56527
6113,62109,Article XI,1250165
6111,62241,Article XI,170830
5372,62962,Article XI,532930
5800,63172,Article XI,57873
5044,63252,Article XI,28470
5021,63751,Article XI,518626
5837,63761,Article XI,1406737
6600,63777,Article XI,1738127
5807,63880,Article XI,76123
5389,63913,Article XI,399912
5457,63941,Article XI,455378
7902,63974,Article XI,1367294
5814,64252,Article XI,621967
7131,64390,Article XI,483827
7930,64543,Article XI,111838
7901,64608,Article XI,470207
8276,64689,Article XI,81108
6636,64745,Article XI,183592
5464,64756,Article XI,364951
5828,64885,Article XI,1141421
6161,65054,Article XI,1257542
6432,65212,Article XI,373673
6614,65275,Article XI,386305
6481,65280,Article XI,272954
6346,65298,Article XI,94550
