ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
50206,287193,2-BR,0%-30%,1,1554,1554,1554,0,0,0
50206,383480,STUDIO,0%-30%,1,1531,1531,1531,0,0,0
50206,383478,2-BR,0%-30%,1,1554,1554,1554,0,0,0
52674,4060,2-BR,0%-30%,1,,,,,,
52674,41105,2-BR,0%-30%,1,,,,,,
52674,40979,STUDIO,0%-30%,1,,,,,,
52674,40957,2-BR,0%-30%,1,,,,,,
52674,2660,2-BR,0%-30%,1,,,,,,
52674,39807,2-BR,0%-30%,1,,,,,,
58589,332727,1-BR,0%-30%,1,1411,1411,1411,906,906,906
58589,317083,1-BR,0%-30%,2,1659.5,2386,933,1659.5,2386,933
59946,28109,3-BR,0%-30%,1,,,,844,844,844
44256,988143,1-BR,0%-30%,10,1870,1870,1870,456,456,456
44256,988143,STUDIO,0%-30%,119,1817,1817,1817,183,183,183
44280,928040,1-BR,0%-30%,7,445,445,445,396,396,396
44280,928040,2-BR,0%-30%,7,541,541,541,482,482,482
44280,928040,3-BR,0%-30%,1,618,618,618,551,551,551
44295,965149,1-BR,0%-30%,4,,,,,,
44295,965149,2-BR,0%-30%,3,,,,,,
44295,965149,3-BR,0%-30%,1,,,,,,
44295,965150,1-BR,0%-30%,1,,,,,,
44295,965150,2-BR,0%-30%,2,,,,,,
44295,965150,3-BR,0%-30%,2,,,,,,
44339,974382,1-BR,0%-30%,11,,,,,,
44339,974382,2-BR,0%-30%,27,,,,,,
44339,974382,3-BR,0%-30%,3,,,,,,
44339,974382,STUDIO,0%-30%,5,,,,,,
44350,928130,1-BR,0%-30%,12,,,,1309,1309,378
44357,958188,1-BR,0%-30%,16,931,1417,931,283,1417,283
44357,958188,2-BR,0%-30%,26,1123,1123,1123,425,425,425
44357,958188,3-BR,0%-30%,1,1292,1292,1292,512,512,512
44357,958188,STUDIO,0%-30%,11,867,867,867,215,215,215
44362,947316,1-BR,0%-30%,9,,,,,,
44362,947316,2-BR,0%-30%,14,,,,,,
44362,947316,STUDIO,0%-30%,5,,,,,,
44409,927022,1-BR,0%-30%,4,395,395,395,,,
44409,927022,2-BR,0%-30%,3,482,482,482,,,
44409,927022,3-BR,0%-30%,1,551,551,551,,,
44409,927022,STUDIO,0%-30%,3,368,368,368,,,
44431,965100,1-BR,0%-30%,2,,,,,,
44431,965100,2-BR,0%-30%,4,,,,,,
44431,965100,3-BR,0%-30%,4,,,,,,
44431,965100,STUDIO,0%-30%,2,,,,,,
44431,974694,1-BR,0%-30%,4,,,,,,
44431,974694,2-BR,0%-30%,5,,,,,,
44431,974694,3-BR,0%-30%,6,,,,,,
44431,974694,STUDIO,0%-30%,4,,,,,,
46143,976480,1-BR,0%-30%,3,445,445,445,396,396,396
46143,976480,2-BR,0%-30%,3,541,541,541,482,482,482
46143,958172,1-BR,0%-30%,5,445,445,445,396,396,396
46143,958172,2-BR,0%-30%,4,541,541,541,482,482,482
46143,958172,3-BR,0%-30%,1,618,618,618,551,551,551
48650,11915,3-BR,0%-30%,3,1200,1200,1200,1200,1200,1200
48753,89051,1-BR,0%-30%,1,,,,,,
48753,89051,3-BR,0%-30%,7,,,,,,
48753,89051,STUDIO,0%-30%,3,,,,,,
49248,,1-BR,0%-30%,3,1280,1280,1280,283,283,283
49248,,2-BR,0%-30%,6,1526,1526,1526,499,499,499
49607,954885,1-BR,0%-30%,1,,,,,,
49607,954885,2-BR,0%-30%,3,,,,,,
49607,954885,3-BR,0%-30%,1,,,,,,
49607,954885,STUDIO,0%-30%,1,,,,,,
49625,952254,1-BR,0%-30%,4,,,,,,
49625,952254,2-BR,0%-30%,4,,,,,,
49625,952254,STUDIO,0%-30%,2,,,,,,
49959,972807,1-BR,0%-30%,6,,,,,,
49959,972807,2-BR,0%-30%,1,,,,,,
49959,972807,STUDIO,0%-30%,1,,,,,,
50370,186479,1-BR,0%-30%,170,,,,236,752,50
50370,186479,STUDIO,0%-30%,31,,,,506,879,124
50411,958174,1-BR,0%-30%,4,,,,,,
50411,958174,2-BR,0%-30%,5,,,,,,
50411,958174,3-BR,0%-30%,1,,,,,,
50411,958174,STUDIO,0%-30%,3,,,,,,
50655,958176,1-BR,0%-30%,1,1597,1597,1597,1597,1597,1597
50655,958176,2-BR,0%-30%,4,1597,1597,1597,1597,1597,1597
50655,958176,3-BR,0%-30%,3,2056,2056,2056,2056,2056,2056
50774,633968,1-BR,0%-30%,1,,,,,,
50774,633968,STUDIO,0%-30%,1,,,,,,
50895,691317,STUDIO,0%-30%,18,,,,425,475,280
50942,964992,1-BR,0%-30%,3,1208,1208,445,1208,1208,396
50942,964992,2-BR,0%-30%,4,1439,1439,541,1439,1439,482
50942,964992,3-BR,0%-30%,2,1849,1849,1849,1849,1849,1849
50942,964992,STUDIO,0%-30%,2,784.5,1156,413,762,1156,368
51150,66602,1-BR,0%-30%,5,,,,1023,1269,454
51150,66602,2-BR,0%-30%,12,,,,965,1584,314
51179,876943,1-BR,0%-30%,16,,,,,,
51249,94237,1-BR,0%-30%,9,,,,505,505,505
51249,94237,2-BR,0%-30%,14,,,,644,644,644
51249,94237,3-BR,0%-30%,6,,,,781,781,781
51260,811255,3-BR,0%-30%,1,1825,1825,1825,1825,1825,1825
51260,811255,5-BR,0%-30%,2,2350,2350,2350,2350,2350,2350
51260,811254,2-BR,0%-30%,3,1658,1658,1658,1658,1658,1658
51260,811254,3-BR,0%-30%,6,1825,1825,1825,1825,1825,1825
51260,811254,4-BR,0%-30%,3,2100,2100,2100,2100,2100,2100
51260,811254,5-BR,0%-30%,1,2350,2350,2350,2350,2350,2350
51260,811250,3-BR,0%-30%,5,1825,2350,1825,1825,2350,1825
51260,811250,4-BR,0%-30%,4,2100,2100,2100,2100,2100,2100
51260,811250,5-BR,0%-30%,1,2350,2350,2350,2350,2350,2350
51260,811256,3-BR,0%-30%,7,1825,1825,1825,1825,1825,1825
51260,811258,2-BR,0%-30%,30,1584,1584,1584,1584,1584,1584
51260,811258,3-BR,0%-30%,12,1825,1825,1825,1825,1825,1825
51260,811252,3-BR,0%-30%,2,1825,1825,1825,1825,1825,1825
51260,811252,4-BR,0%-30%,2,2100,2100,2100,2100,2100,2100
51260,811252,5-BR,0%-30%,1,2350,2350,2350,2350,2350,2350
51260,811858,1-BR,0%-30%,20,1336,1584,1336,1336,1584,1336
51260,811858,2-BR,0%-30%,19,1584,1584,1584,1584,1584,1584
51260,811858,STUDIO,0%-30%,12,1150,1150,1150,1150,1150,1150
51260,811253,1-BR,0%-30%,31,1336,1336,1336,1336,1336,1336
51260,811253,2-BR,0%-30%,25,1584,1584,1584,1584,1584,1584
51260,811257,3-BR,0%-30%,6,1825,1825,1825,1825,1825,1825
51260,811251,2-BR,0%-30%,3,1584,1584,1584,1584,1584,1584
51260,811251,3-BR,0%-30%,4,1825,1825,1825,1825,1825,1825
51260,811859,1-BR,0%-30%,22,1336,1336,1336,1336,1336,1336
51260,811859,2-BR,0%-30%,21,1584,1584,1584,1584,1584,1584
51260,811859,STUDIO,0%-30%,15,1150,1150,1150,1150,1150,1150
51302,979324,1-BR,0%-30%,22,,,,,,
51302,979324,2-BR,0%-30%,21,,,,,,
51302,979324,3-BR,0%-30%,7,,,,,,
51302,979324,4-BR,0%-30%,2,,,,,,
51302,979324,STUDIO,0%-30%,4,,,,,,
51302,979325,1-BR,0%-30%,18,,,,,,
